,fault_name,length,location,sense_of_movement,time_of_movement,associated_earthquakes
0,Aedipsos-Kandili Fault,60,North Euboean Gulf - Greece,Normal,Active,
1,Alaska-Aleutian Megathrust,3600,Kamchatka - Russia to Gulf of Alaska,Subduction zone,Active,1964 Prince William Sound (M9.2) - 1965 Rat Islands (M8.7) - 1957 Andreanof Islands (M8.6)
2,Alpine Fault,1400,South Island - New Zealand,Dextral strike-slip,Active,2009 Fiordland (M7.8)
3,Altyn Tagh Fault,1200,Tibetan Plateau/Tarim Basin,Sinistral strike-slip,Active,
4,Amfilochia Fault,60,Western Greece,Sinistral strike-slip,Active,
5,Amorgos Fault,>100,Greece - South Aegean Sea,Normal,Active,1956 Amorgos (M7.4)[1]
6,Arkitsa – Agios Konstantinos Fault zone,25,Central Greece,Normal,,
7,Aspy Fault,40,Nova Scotia,Strike-slip,,
8,Atacama Fault,800,Atacama desert - Chile,Strike-slip,Active,
9,Atalanti Fault,50,Central Greece,Normal Fault,Active,1894 Atalanti (M6.4 - M6.9)
10,Atotsugawa Fault,Japan,Dextral strike-slip,Active,1858 Hietsu earthquake (M~7),
11,Awatere Fault,South Island - New Zealand,Dextral strike-slip,Active,1848 Marlborough (M7.5),
12,Azores–Gibraltar Transform Fault,2250,Azores to Strait of Gibraltar,Dextral strike-slip,Active,1755 Lisbon earthquake (est. M7.5–8.0) - 1969 Cape St. Vincent (M7.9) - 1941 Gloria Fault (M8.0)
13,Baikal Rift Zone,Lake Baikal,Rift zone,Active,,
14,Ballenas Fault,Gulf of California - United States,Transform,Active,,
15,Brothers Fault Zone,Oregon - United States,,,,
16,Cascadia megathrust,1000,West coast of United States – Oregon & Washington Vancouver Island Canada,Subduction zone,Active,1700 Cascadia (M9.0)
17,Central African Shear Zone,4000,Central Africa,Rift zone,,
18,Cerro Prieto Fault,Gulf of California - United States,Transform,Active,,
19,Chixoy-Polochic Fault,Guatemala,Transform,Active,1816 Guatemala (M7.5)[2],
20,Christchurch Fault,South Island - New Zealand,Active,,,
21,Chile subduction megathrust,3000,West coast of Chile,Subduction zone,Active,1960 Valdivia (M9.5); 1906 Valparaiso (M8.2); 2010 Maule (M8.8); 2014 Iquique (M8.2)
22,Clarence Fault,South Island - New Zealand,Dextral strike-slip,Active,,
23,Clarendon-Linden fault system,New York - United States,,,,
24,Clayton-Marsh Creek-Greenville Fault,California - United States,,,,
25,Cochabamba Fault Zone,Bolivia,Sinistral strike-slip,,,
26,Corinth Rift,110,Greece,Normal Fault,Active,1995 Aegion (M6.2); 1981 Alkyonides; 1861 Helike; 373 BC Helike
27,Craven Fault System,Pennines,Normal Fault,Carboniferous,,
28,Darling Fault,950-1500,Western Australia - Australia,Proterozoic,,
29,Dead Sea Transform,Sinai Peninsula,Sinistral transform,Active,1138 Aleppo earthquake,
30,Delfi Fault Zone,25,Central Greece,Normal to strike-slip,,
31,Denali Fault,British Columbia - Canada to Alaska - United States,Dextral strike-slip,Active,2002 Denali (M7.9),
32,East Anatolian Fault,Turkey,Strike-slip,Active,2003 Bingöl (M6.4) - 2010 Elâzığ (M6.1),
33,Eastern Tennessee Seismic Zone,Alabama to Virginia - United States,Active,2003 Alabama (M4.6),,
34,Elsinore Fault Zone,180,California - United States,Dextral strike-slip,Active,
35,Eltanin Fault System,Southern Ocean,Dextral transform,Active,1600 km offset,
36,Enriquillo-Plantain Garden fault zone,Hispaniola,Sinistral strike-slip,Active,2010 Haiti (M7.0),
37,Glarus thrust,Switzerland,Thrust fault,Cenozoic,,
38,Great Glen Fault,Scotland,Strike-slip,Silurian to Cenozoic,,
39,Great Lakes Tectonic Zone (GLTZ),1 -400,Great Lakes - United States,Tectonic zone,Neoarchean,
40,Great Sumatran Fault,Sumatra - Indonesia,Strike-slip,Active,1943 Alahan Panjang (M7.2) - 1994 Liwa (M7.0),
41,Greendale Fault,South Island - New Zealand,Dextral strike-slip,Active,2010 Canterbury (M7.1),
42,Guaymas Fault,325,California - United States,Dextral strike-slip,Active,
43,Gulf of California Rift Zone,1300,Mexico,Rift zone,Active,2010 Mexicali (M7.2)
44,Hayward Fault Zone,119,San Francisco Bay - California - United States,Strike-slip,Active,1868 Hayward (M6.3–6.7)
45,Hellenic Arc,1000,East Mediterranean Sea,Thrust/Strike-slip,365 AD (M8.5+); 1303 AD (~8),
46,Honey Lake Fault Zone,Nevada and California - United States,Dextral strike-slip,Active,,
47,Hope Fault,South Island - New Zealand,Dextral strike-slip,Active,1888 North Canterbury (M7.3),
48,Humboldt Fault Zone,Nebraska to Kansas - United States,Normal fault,Active,1867 Manhattan - Kansas (M5.1),
49,Imperial Fault Zone,California - United States,Dextral strike-slip,Active,1940 El Centro (M6.9) - 1979 Imperial Valley (M6.4),
50,Ierapetra Fault,40,Crete,Normal Fault,,
51,Independence Valley fault system,Nevada - United States,Normal fault,Active,2008 Wells earthquake (M6.0),
52,Kameni-Kolumbo Fault zone,>60,Greece - South Aegean Sea,Dextral (?) Strike-slip,,
53,Kandi Fault Zone,West Africa,,,,
54,Karsdorf Fault,Germany,,,,
55,Kego Fault,Japan,Active,2005 Fukuoka (M7.0),,
56,Kefalonia Transform Fault,180,Greece - Ionian Sea,Dextral strike Slip,Active,1953 Kephalonia (M7.2)
57,Kermadec-Tonga Subduction Zone,New Zealand,Subduction zone,Active,,
58,Kern Canyon Fault,Sierra Nevada - California - United States,Thrust fault,,,
59,Kunlun fault,1500,Tibet,Sinistral strike-slip,Active,2001 Kunlun (M7.8)
60,Laguna Salada Fault,64–80,United States and Mexico,Strike-slip,Active,2010 Mexicali M7.2)
61,Laptev Sea Rift,Arctic Ocean,Rift zone,,,
62,Liquiñe-Ofqui Fault,1000,Andes - Chile,Strike-slip,,
63,Long Point–Eureka Heights Fault System,Texas - United States,Normal fault,,,
64,Longmen Shan Fault,Sichuan - China,Thrust fault,Active,2008 Sichuan (M8.0),
65,Lusatian Fault,Germany,Thrust fault,,,
66,Macquarie Fault Zone,South Pacific Ocean,Strike-slip,Active,2008 Macquarie Island earthquake (M7.1),
67,Magallanes–Fagnano Fault,South America,Transform,,,
68,Main Uralian Fault (MUF),2000+,Urals,Subduction zone,,
69,Marianna Fault,Arkansas - United States,,,,
70,Marikina Valley Fault System,Philippines,Dextral strike-slip,active,,
71,Marlborough Fault System,South Island - New Zealand,Dextral strike-slip,Active,1843 Wanganui (M~7.5),
72,Meers Fault,Oklahoma,Oblique slipe,Active,Holocene,
73,Mendocino Fracture Zone,California - United States,Transform,Active,,
74,Moab Fault,Utah - United States,Normal fault,Active,,
75,Mocha Fracture Zone,Mocha Island - Chile,Transform,Active,,
76,Motagua Fault,Guatemala,Transform,Active,1717 - 1773 - 1902 - 1976 - 1980 - 2009,
77,Mygdonia Graben,North Greece,Normal to strike-slip,Active,1978 Thessaloniki (M6.4),
78,Neodani Fault,Japan,Active,1891 Mino–Owari (M8.0),,
79,New Madrid Fault Zone,Missouri - United States,Normal fault,Active,1811–1812 three (M7-8),
80,Nootka Fault,British Columbia - Canada,Transform,Active,,
81,North Aegean Trough,>250,North Aegean Sea - Greece - Turkey,Dextral strike-slip,Active,1912 (M7.6); 1982 (M6.7); 2014 (M6.9)
82,North Anatolian Fault,Turkey,Dextral strike-slip,Active,1939 Erzincan (M7.8) - 1912 Ganos (M7.4) - 1999 Izmit (M7.4) - 1999 Düzce (M7.2),
83,North Ikaria Fault,>80,Central Aegean Sea - Greece,Dextral strike slip,,
84,North Island Fault System,500,North Island - New Zealand,Dextral strike slip,Active,
85,Palu-Koro Fault,500,Palu - Sigi - Donggala - Indonesia,Sinistral strike-slip,Active,2005 Bora - Sigi earthquake (M6.2) - 2018 Sulawesi earthquake (M7.5)
86,Periadriatic Seam,1000,Alps - Europe,Dextral strike-slip,,
87,Pichilemu Fault,40,Chile,Active,2010 Pichilemu (Libertador O'Higgins) (M6.9),
88,Pliny Trench,300,Eastern Mediterranean Sea - Hellenic Trench,Sinistral strike-slip,,
89,Port Hills Fault,South Island - New Zealand,Active,2011 Christchurch (M6.3),,
90,Pyramid Lake Fault Zone,Nevada - United States,Dextral strike-slip,,,
91,Ramapo Fault,300,New York - New Jersey - Pennsylvania - United States,Normal fault,Triassic to Early Jurassic,
92,Raymond Fault,California - United States,,,,
93,Red Sea Rift,Red Sea,Rift zone,,,
94,Reigolil-Pirihueico Fault,Andes,,,,
95,Rhine Rift Valley,Germany and France,Rift zone,Active,1356 Basel (M6 to 7),
96,Rio Grande Rift,Rio Grande Valley - United States and Mexico,Rift zone,,,
97,Salzach-Ennstal-Mariazell-Puchberg Fault System (SEMP),400[3],Austria,Sinistral strike-slip,,
98,San Andreas Fault System (Banning fault - Mission Creek fault - South Pass fault - San Jacinto fault - Elsinore fault),1300,California - United States,Dextral strike-slip,Active,1906 San Francisco (M7.7 to 8.25) - 1989 Loma Prieta (M6.9)
99,San Ramón Fault,Chile,Thrust fault,,,
100,Sawtooth Fault,Idaho - United States,Normal fault,,,
101,Seattle Fault,Washington - United States,Thrust fault,Active,,
102,Septentrional-Orient fault zone,Caribbean,Sinistral strike-slip,Active,1842 Cap-Haïtien (M8.1),
103,Sierra Nevada Fault,California - United States,Normal fault,Active,1872 Lone Pine (M7.4–8.3),
104,Skyros-Edremit Fault zone,>150,Aegean Sea - Greece - Turkey,Dextral Strike-slip,Active,1967 - 1981
105,Sobral Fault,Brazil,Strike-slip,,,
106,Sorong fault,Oceania,Sinistral strike-slip,Active,2009 Kepulauan Talaud (M7.2),
107,Sparta Fault,65,Peloponnese - Greece,Normal fault,Active,464 BC Sparta (M7.2)
108,Spili Fault,20,Crete - Greece,Normal fault,Active,
109,Strabo Trench,300,Eastern Mediterranean Sea - Hellenic Trench,Sinistral strike-slip,Active,
110,Sunda subduction megathrust,5000,South East Asia,Subduction zone,Active,2004 Banda Aceh (M9.1) - 2005 Nias (M8.6) - 2007 Bengkulu (M8.4)
111,Tacoma Fault,56,Washington - United States,Thrust fault,Active,
112,Tatsuda Fault,Japan,Active,1889 Kumamoto (M6.3),,
113,Tintina Fault,British Columbia - Canadato Alaska - United States,Strike-slip,Late Cretaceous to Oligocene,,
114,Ulakhan Fault,Siberia to Aleutian Trench,Sinistral strike-slip,Active,,
115,Virginia Seismic Zone,Virginia - United States,Active,2011 Virginia (M5.8),,
116,Wabash Valley Seismic Zone,Illinois - Indiana - United States,Normal fault,Active,2008 Illinois (M5.4),
117,Wasatch Fault,Utah - United States,Normal fault,Active,,
118,Wellington Fault,North Island - New Zealand,Dextral strike-slip,Active,,
119,Wairarapa Fault,North Island - New Zealand,Dextral strike-slip,Active,1855 Wairarapa (M8.2),
120,Wairau Fault,South Island - New Zealand,Dextral strike-slip,Active,,
121,Wilzetta Fault,89,Oklahoma - United States,Strike-slip,Active,2011 Oklahoma (M5.6)
